latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
-36.50452,149.93665,306.9,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.8,1.8
-36.50066,149.93771,310.6,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,286.3,1.8
-36.49946,149.93185,305.6,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.4,1.7
-36.4992,149.9505,303.6,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.6,0.9
-36.49679,149.93878,302.6,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.7,1.4
-36.4956,149.933,309.7,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.8,1.7
-36.49437,149.92699,308.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,284.4,1.7
-36.49534,149.95163,299.9,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.4,0.9
-36.49413,149.94577,311,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.7,1.4
-36.49293,149.93991,301.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.3,1.4
-36.49174,149.93411,310.7,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.9,1.7
-36.49028,149.9469,316.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.1,2
-36.48907,149.94102,316.3,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,285.8,2
-35.77456,147.90302,297.7,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,277.2,0.4
-35.66841,148.08295,299.4,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,281.6,0.9
-35.57032,147.64647,337.3,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,282.6,7.7
-35.66661,148.09549,301.5,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,279.8,1.6
-35.66541,148.09006,312.6,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,281.4,1.6
-35.6642,148.08466,298.8,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,280.5,0.9
-35.5659,147.6478,341.7,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,285.2,7.7
-35.5647,147.64252,336.7,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,282,7.7
-35.66239,148.09712,345.4,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,284.7,7.4
-35.66117,148.09167,329.2,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,282.3,7.4
-35.65931,148.1039,316.4,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,281.1,2.6
-35.6581,148.09848,353.9,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,286.1,7.4
-35.6526,148.0944,312.6,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,280,4.9
-35.65506,148.10541,324.5,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,282.7,4.4
-35.65382,148.09987,329,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,282,4.9
-35.64956,148.10133,367,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,284.4,4.9
-35.64832,148.0958,322.1,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,282,4.9
-35.64529,148.10275,296.4,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,280.9,0.8
-35.06451,148.40028,315.3,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,279.6,2.2
-34.51085,150.33809,297.9,0.6,0.4,2017-04-30,14:36,N,nominal,1.0NRT,283.3,0.8
-34.46817,150.88902,306.5,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,286.8,2.3
-34.46932,150.89471,326.3,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,288,2.3
-34.4632,150.88445,303,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,287.1,2.6
-34.46204,150.87871,324.5,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,287.3,2.6
-34.45822,150.87985,306.5,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,287.2,2.6
-34.45938,150.88554,332,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,290.8,2.6
-34.45441,150.88097,300.1,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,287.2,1.3
-34.24825,150.5826,296.3,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,282.8,0.8
-34.22174,150.71484,304.8,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,283.4,1.4
-33.75662,149.52184,306.8,0.4,0.5,2017-04-30,14:36,N,nominal,1.0NRT,278.1,1.2
-33.32119,148.5821,306.2,0.5,0.5,2017-04-30,14:36,N,nominal,1.0NRT,283.8,1.4
-33.33857,151.22076,309.5,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,283.4,1.2
-32.71355,151.09372,320.2,0.6,0.4,2017-04-30,14:36,N,nominal,1.0NRT,284.2,1.6
-31.69406,147.21269,303.8,0.6,0.6,2017-04-30,14:36,N,nominal,1.0NRT,279.1,2.3
-32.64896,151.72472,295.3,0.5,0.4,2017-04-30,14:36,N,nominal,1.0NRT,283.5,0.4
-31.09191,147.12888,326,0.3,0.6,2017-04-30,14:36,N,nominal,1.0NRT,258.9,2.1
-31.27143,148.18396,296.2,0.6,0.5,2017-04-30,14:36,N,nominal,1.0NRT,280.9,0.8
-31.52699,151.11264,295.6,0.4,0.4,2017-04-30,14:30,N,nominal,1.0NRT,278.7,1
-31.52614,151.10855,313.4,0.4,0.4,2017-04-30,14:30,N,nominal,1.0NRT,280.6,1.6
-31.5264,151.11137,315.9,0.4,0.4,2017-04-30,14:30,N,nominal,1.0NRT,280,1.2
-30.91647,148.79193,296.8,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,283.9,0.9
-30.68717,147.96396,302.7,0.6,0.5,2017-04-30,14:30,N,nominal,1.0NRT,280.3,2.1
-30.68575,147.95778,318.9,0.6,0.5,2017-04-30,14:30,N,nominal,1.0NRT,280.5,3.4
-30.68094,147.9593,300.6,0.6,0.5,2017-04-30,14:30,N,nominal,1.0NRT,279.5,2
-31.15948,150.47,304,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,280.2,1.4
-31.13471,151.38042,299.2,0.6,0.4,2017-04-30,14:30,N,nominal,1.0NRT,281.2,0.6
-30.24491,149.09099,297.9,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,281.5,0.9
-30.24369,149.08556,298.5,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,280.6,0.9
-30.24035,149.09233,301.7,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.3,1.3
-30.23913,149.08691,303.3,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,281.4,1.3
-30.20185,153.13956,303.7,0.5,0.4,2017-04-30,14:30,N,nominal,1.0NRT,285.5,1
-30.19815,153.14041,298.7,0.5,0.4,2017-04-30,14:30,N,nominal,1.0NRT,285.4,0.5
-29.73544,153.02481,295.1,0.5,0.4,2017-04-30,14:30,N,nominal,1.0NRT,284.5,0.2
-29.1388,151.38364,297,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.1,0.4
-28.9244,152.49715,302.5,0.5,0.4,2017-04-30,14:30,N,nominal,1.0NRT,285.1,1.2
-28.58555,151.18375,295.3,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.6,0.3
-28.433,151.18213,297.3,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.2,1
-28.43208,151.1777,314,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,285,1
-28.4288,151.18327,296,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.5,1
-28.42788,151.17888,310.3,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.9,1
-27.79256,148.77353,301,0.6,0.6,2017-04-30,14:30,N,nominal,1.0NRT,285.9,2
-28.05556,150.89867,297.4,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,285.9,0.4
-27.95655,150.4942,298.7,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,285.8,0.9
-27.47235,148.69398,301.7,0.6,0.6,2017-04-30,14:30,N,nominal,1.0NRT,283.1,1.1
-27.71489,149.9025,295.8,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.1,0.6
-27.55503,149.17786,295.5,0.6,0.5,2017-04-30,14:30,N,nominal,1.0NRT,282,0.9
15.10647,-4.51324,337,0.4,0.4,2017-04-30,13:36,N,nominal,1.0NRT,305.9,1.2
13.24588,-15.31695,350.4,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.4,4
13.24657,-15.31346,340.4,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,307.6,7.5
13.10028,-16.15675,335,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,300.2,1.4
13.24422,-15.31721,346.9,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,307.4,7
13.24488,-15.31371,347.9,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,306.1,7
13.29244,-14.94898,338.5,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,306.3,3.1
13.16069,-15.57571,353.7,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,309.6,5.5
13.15523,-15.57457,350,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,310.1,5.5
13.12771,-15.65718,351.4,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,307.6,7.2
13.17781,-15.03942,344.1,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,309.1,3.7
15.02716,-3.92628,340.5,0.4,0.4,2017-04-30,13:36,N,nominal,1.0NRT,304.7,5.1
14.19475,-9.28048,367,0.5,0.4,2017-04-30,13:36,N,nominal,1.0NRT,328.1,38.5
13.16,-15.04653,350.9,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,306.9,4.6
13.16064,-15.04318,344.5,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,309,4.6
13.32619,-14.14219,345.7,0.6,0.6,2017-04-30,13:36,N,nominal,1.0NRT,310.8,14.4
14.29127,-8.53952,367,0.4,0.4,2017-04-30,13:36,N,nominal,1.0NRT,323.2,43
13.16278,-14.83375,367,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,307.3,7.2
13.02536,-15.51066,345.9,0.4,0.6,2017-04-30,13:36,N,nominal,1.0NRT,307.8,4.9
13.37367,-13.67476,353.8,0.6,0.5,2017-04-30,13:36,N,nominal,1.0NRT,313.9,13.1
13.36886,-13.67385,344.2,0.6,0.5,2017-04-30,13:36,N,nominal,1.0NRT,309.3,13.1
13.94533,-10.38546,346.6,0.5,0.4,2017-04-30,13:36,N,nominal,1.0NRT,315,4.6
11.58262,-13.86866,340.4,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,303,107.8
11.58315,-13.86575,337.2,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,301.8,166.1
11.86363,-12.29266,330.9,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,300.6,9.1
11.86446,-12.28792,344.2,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,310,46.1
12.2287,-10.1645,352.8,0.6,0.4,2017-04-30,13:36,N,nominal,1.0NRT,314.2,10.1
11.55576,-13.98772,353.4,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,303.3,7.1
11.56724,-13.92465,340.6,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,302.5,68
11.57487,-13.88267,336.8,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,305.6,3
11.5754,-13.87972,340.7,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,306,3
11.57594,-13.87674,344.5,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,304.2,4.3
11.57648,-13.87375,355.1,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,305.5,4.3
11.57917,-13.85898,341.8,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,302,19.4
12.22476,-10.16401,347.8,0.6,0.4,2017-04-30,13:36,N,nominal,1.0NRT,312.7,10.1
11.56835,-13.91854,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.6,39.9
11.57756,-13.86781,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,362.6,107.8
11.57809,-13.86489,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,347.2,166.1
11.57863,-13.86195,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,304.4,166.1
11.57087,-13.87596,336.7,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,300.1,3.3
11.57141,-13.87299,343.2,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,300.5,3.3
11.57196,-13.87,353.3,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,301,6.3
11.57415,-13.85795,338.6,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,302.2,19.5
11.8798,-12.14788,348.3,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,309.3,28
11.55126,-13.98358,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,304.8,39.1
11.5725,-13.86699,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,302.5,6.3
11.57359,-13.861,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,312.4,56
11.56695,-13.86884,335.3,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,304.2,6.3
11.56749,-13.86588,338.1,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,304.2,6.3
11.8745,-12.15177,346.6,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,315.2,28
11.87537,-12.14684,350,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,318.5,28
11.87008,-12.15072,344.7,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,307.9,11.5
11.87096,-12.14574,345.5,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,311,11.5
11.88306,-11.97341,345.6,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,310.9,5.2
11.84906,-12.13924,344,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,307.9,47.7
11.84983,-12.13494,348.4,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,305.2,54.6
11.53678,-13.83465,345.5,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.1,14.6
11.8462,-12.12946,344.5,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,305,98.8
11.8815,-11.93084,343,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,309.4,7
11.53735,-13.83156,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,321.7,36.2
11.84545,-12.13366,367,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,355.7,98.8
11.51443,-13.92713,349.4,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,303.3,9
11.51554,-13.92119,350.3,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,306.3,11.8
11.84101,-12.13273,331.2,0.5,0.5,2017-04-30,13:36,N,nominal,1.0NRT,304.8,98.8
11.51498,-13.92416,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,305.3,9
11.07458,-16.21201,335.6,0.5,0.7,2017-04-30,13:36,N,nominal,1.0NRT,298.4,3.8
11.50666,-13.94076,340.5,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,304.1,6.1
11.50776,-13.93482,344.8,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,307.4,8.8
11.50829,-13.932,340,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.2,7.2
11.50881,-13.92918,344.2,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,305.6,7.2
11.50724,-13.93767,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,308.2,8.8
11.5099,-13.92331,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,333.4,82
11.51046,-13.92033,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,333.7,95.8
11.51103,-13.91725,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,303.8,95.8
11.50429,-13.92532,336.4,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,304.2,82
11.50484,-13.92238,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,303,82
11.50541,-13.91933,367,0.3,0.6,2017-04-30,13:36,N,nominal,1.0NRT,305.9,95.8
